Feature,Mean_SHAP
Provider_Payer_Prior_Denial_Count,0.18858771
NCCI_Bundling_Flag,0.11741632
Eligibility_Verified,0.096257284
Prior_Auth_Obtained,0.09498179
Clearinghouse_Validation_Passed,0.05610222
Billed_Amount,0.046457183
Duplicate_Claim_Flag,0.026077168
Chronic_Condition_Flag,0.008535489
Modifier_Code,0.0073255184
Claim_Submission_Delay,0.0057322965
Provider_Monthly_Claim_Volume,0.0055623646
Submission_Month,0.0033113419
Procedure_Code,0.0031852254
Payer,0.0023626029
Service_Month,0.0014295231
Submission_DayOfWeek,0.0012279064
Service_DayOfWeek,0.0012164515
Place_of_Service_Code,0.00074102904
Claim_Form_Type,0.0006682475
Provider_Specialty,0.00035435427
Payer_Timely_Filing_Limit_Days,0.000135714
Diagnosis_Code,5.8287853e-05
Prior_Auth_Required,0.0
